0 , -2, 5 , 1.5,7,19.8043
1 , -2, 1.5 , 1.5,3.5,19.8043
2 , -2, -0.25 , -0.25,1.75,0.19962
3 , -1.125, -0.25 , -1.125,0.875,-14.1807
4 , -0.6875, -0.25 , -0.6875,0.4375,-3.33111
5 , -0.46875, -0.25 , -0.46875,0.21875,-1.10535
6 , -0.359375, -0.25 , -0.359375,0.109375,-0.366961
7 , -0.304688, -0.25 , -0.304688,0.0546875,-0.0646089
8 , -0.304688, -0.277344 , -0.277344,0.0273438,0.0720311
9 , -0.304688, -0.291016 , -0.291016,0.0136719,0.00486999
10 , -0.297852, -0.291016 , -0.297852,0.00683594,-0.0295761
11 , -0.294434, -0.291016 , -0.294434,0.00341797,-0.0122802
12 , -0.292725, -0.291016 , -0.292725,0.00170898,-0.00368693
13 , -0.292725, -0.29187 , -0.29187,0.000854492,0.000596067
